item_number,location_no,size_id,value,loc_width,loc_depth,loc_height,case_width,case_length,case_height
100766,C0522-1-3,140160,[New]CF1(RSB1),15.00,96.00,18.00,21.4,13.1,7.3
105420,E1606-4-2,140424,[New]D3b(RSB3),45.00,24.00,12.00,12.6,20.5,12.7
27469,C9907-1-2,140212,[New]B1(RSB1),20.00,48.00,48.00,0.0,0.0,0.0
100252,C0710-4-6,140382,[New]H1(RSB1),15.00,30.00,12.00,13.9,8.8,3.5
105920,E1110-2-2,140433,[New]C3b(RSB3),45.00,30.00,18.00,22.3,12.0,8.7
105920,F1305-5-2,140546,[New]B2a(RSB10),40.00,48.00,30.00,22.3,12.0,8.7
107778,E0416-1-1,140551,[Temp]C3a RSB2,40.00,30.00,18.00,14.6,20.9,9.8
15570,F0203-2-1,140368,[New]C3a(RSB10),40.00,48.00,18.00,18.5,13.5,8.0
15570,E0613-2-1,140424,[New]D3b(RSB3),45.00,24.00,12.00,18.5,13.5,8.0
15570,E1505-4-1,140424,[New]D3b(RSB3),45.00,24.00,12.00,18.5,13.5,8.0
35741,E0805-3-2,140433,[New]C3b(RSB3),45.00,30.00,18.00,13.0,17.2,5.8
35741,E1509-4-2,140424,[New]D3b(RSB3),45.00,24.00,12.00,13.0,17.2,5.8
91431,F0521-5-2,140546,[New]B2a(RSB10),40.00,48.00,30.00,13.6,9.8,8.1
91431,E0712-1-2,140424,[New]D3b(RSB3),45.00,24.00,12.00,13.6,9.8,8.1
100485,D0707-2-2,140403,[New]A2(RSB10),40.00,48.00,48.00,9.4,9.5,9.3
100485,D0806-3-1,140403,[New]A2(RSB10),40.00,48.00,48.00,9.4,9.5,9.3
100485,C0815-3-1,140382,[New]H1(RSB1),15.00,30.00,12.00,9.4,9.5,9.3
100485,D0623-4-2,140463,[New]A1(RSB10),40.00,48.00,60.00,9.4,9.5,9.3
51089,F0904-4-2,140403,[New]A2(RSB10),40.00,48.00,48.00,11.6,20.3,12.1
51089,E1306-3-2,140424,[New]D3b(RSB3),45.00,24.00,12.00,11.6,20.3,12.1
105185,C0811-4-4,140382,[New]H1(RSB1),15.00,30.00,12.00,11.0,18.5,7.6
105185,D0509-4-1,140526,[New]Y2(RSB2),40.00,96.00,48.00,11.0,18.5,7.6
105857,F0714-2-1,140403,[New]A2(RSB10),40.00,48.00,48.00,17.6,14.4,12.2
105857,F1509-4-1,140403,[New]A2(RSB10),40.00,48.00,48.00,17.6,14.4,12.2
105857,F0831-2-1,140512,[New]A3(RSB5),40.00,48.00,42.00,17.6,14.4,12.2
105857,F1508-5-2,140546,[New]B2a(RSB10),40.00,48.00,30.00,17.6,14.4,12.2
105857,E0818-1-2,140551,[Temp]C3a RSB2,40.00,30.00,18.00,17.6,14.4,12.2
105857,F1401-2-1,140526,[New]Y2(RSB2),40.00,96.00,48.00,17.6,14.4,12.2
105857,F1407-3-2,140526,[New]Y2(RSB2),40.00,96.00,48.00,17.6,14.4,12.2
105857,F1408-4-1,140526,[New]Y2(RSB2),40.00,96.00,48.00,17.6,14.4,12.2
105857,F0431-3-2,140564,[New]DC Stk RSB5,1.00,1.00,1.00,17.6,14.4,12.2
18932,F0603-4-2,140403,[New]A2(RSB10),40.00,48.00,48.00,6.4,10.1,19.3
18932,E1609-3-2,140424,[New]D3b(RSB3),45.00,24.00,12.00,6.4,10.1,19.3
83531,F0609-3-1,140403,[New]A2(RSB10),40.00,48.00,48.00,19.8,14.1,7.3
83531,E0912-2-2,140433,[New]C3b(RSB3),45.00,30.00,18.00,19.8,14.1,7.3
83531,E0305-2-1,140433,[New]C3b(RSB3),45.00,30.00,18.00,19.8,14.1,7.3
104619,F0517-2-1,140368,[New]C3a(RSB10),40.00,48.00,18.00,16.2,9.0,4.8
